epoch,G_loss,D_loss
1,2.828970086218706,0.8293658163247586
2,1.916842468273538,0.8902739485952137
3,2.0042628774256595,0.8650617516879588
4,2.202013027057973,0.7850244627959693
5,2.368042724790858,0.7649210184367735
6,2.534018464052855,0.7113004770360267
7,2.794179446788739,0.6567843836634907
8,3.0468685848118144,0.5929027169879312
9,3.159188014341951,0.5916215281115412
10,3.462462255695481,0.5284689458321407
11,3.6887768263628744,0.5271576119384278
12,3.6543074175238863,0.5162742013361916
13,3.7716469800453196,0.5089416559825319
14,3.940324742339059,0.509965053118114
15,4.325157456052329,0.42339059691439307
16,3.5726378675717028,0.5702721160103772
17,3.9351067342547212,0.4927858547615344
18,4.048609332016695,0.49901984501749214
19,4.429025242438734,0.4790248477509789
20,4.160424892931605,0.49636773876289825
21,4.364469331464788,0.3641055188834794
22,4.441886974550259,0.395790779133087
23,4.89030861244527,0.35429913510900063
24,4.0157554166109515,0.4866306725849729
25,4.910824442214803,0.3740335118287662
26,4.90363072611884,0.3566773781644256
27,4.616887561420896,0.40769683749182645
28,4.5920709691830535,0.4043471531700224
29,5.304619941630089,0.3461693849390758
30,4.226976339290264,0.451414136871346
31,4.756380137254689,0.39481243821603657
32,5.386855114243432,0.34548541007519784
33,4.98178004945265,0.40106653836744427
34,4.6853903981584955,0.42852097120620547
35,5.268838882446289,0.34802713056108847
36,4.858759432014372,0.431610986685702
37,4.96960372762131,0.36367279589811624
38,4.682201179487111,0.390573562970802
39,4.589404680327312,0.45618089855606875
40,5.363687755202434,0.34608142055682284
41,5.290323312348648,0.34133920086218095
42,5.43846063064868,0.3406408333193773
43,5.237013957393703,0.3601256680132738
44,5.427190987031851,0.3410006892452362
45,5.51603441299406,0.34116160119774497
46,5.502912776556605,0.34154439188524094
47,4.842967729578649,0.3755507667435766
48,5.217725286097415,0.34391829085502545
49,5.511294573354823,0.3409952730385225
50,5.315175018330881,0.36175167497032995
